company_name,domain,,real_domain
queensland magnesia,sibelco.com/materials/magnesia,,qmag.com.au
888 crushing and screening equipment pty ltd,888cse.com.au,,888cse.com.au
kasbah resources limited,kasbahresources.com,,kasbahresources.com
moorvale earthmoving,moorvale.com.au,,moorvale.com.au
cbm (coneyor belt monitoring) international pty ltd,cbmi.com.au,,cbmi.com.au
safescape,safescape.com,,safescape.net.au
port kembla coal terminal limited,pkct.com.au,,pkct.com.au
allplant auto electrics,allplantautoelectrics.com.au,,allplantautoelectrics.com.au
copperchem ltd,roundoakminerals.com.au,,copperchem.com.au
global product search,globalproductsearch.com.au,,globalproductsearch.com.au
rift valley resources ltd,,,riftvalleyresources.com.au
amml,,,amml.com.au
wa mining club,waminingclub.asn.au,,waminingclub.asn.au
sdv longwall support,,,longwallsupport.com.au
"""azergold"" cjsc",azergold.az,,azergold.az
aimroc ltd,,,aimroc.com
aluminij d.d. mostar,aluminij.ba,,aluminij.ba
bekaert,bekaert.com,,bekaert.com
sibelco group,sibelco.com,,sibelco.com
lamifil nv,lamifil.be,,lamifil.be
world steel association (worldsteel),worldsteel.org,,worldsteel.org
campine nv,campine.be,,campine.be
messer eutectic castolin benelux,castolin.com,,castolin.be
testas n.v.,testas.be,,testas.be
thyssenkrupp christon,thyssenkrupp-materials.be,,thyssenkrupp-christon.be
tenneco automotive europe bvba,tenneco.com,,tenneco.eu
allard-europe n.v.,allard-europe.com,,allard-europe.com
coil,coil.com,,coil.be
hafibo nv,hafibo.be,,hafibo.be
european copper institute,copperalliance.eu,,copperalliance.eu
campine recycling,campine.com,,campinerecycling.be
fleurs,fleursnyc.com,,fleurs.ae
eurometaux,eurometaux.eu,,eurometaux.eu
catapa,catapa.be,,catapa.be
sahara mining services,saharaminingservices.com,,saharanr.com
sofia med ad,sofiamed.bg,,sofiamed.bg
kaolin ad,quarzwerke.com,,kaolin.bg
intercom group ltd,,,intercomgroup.bg
geops-bolkan drilling services ltd.,geopsbg.com,,geopsbg.com
hus ltd.,husltd.com,,husltd.com
mini maritsa iztok ead,,,marica-iztok.com
sulb company,sulb.com.bh,,sulb.com
quality wire products co w.l.l,qualitywire.com.bh,,qualitywire.com.bh
mineral processing,,,minpro.com.bo
vale,,,vale.com
gerdau,www2.gerdau.com,,gerdau.com
samarco,samarco.com,,samarco.com
paranapanema s.a.,paranapanema.com.br,,paranapanema.com.br
ferbasa,ferbasa.com.br,,ferbasa.com.br
cbmm,cbmm.com,,cbmm.com.br
mineraß£o rio do norte,mrn.com.br,,mrn.com.br
mineraß£o taboca s.a.,,,mtaboca.com.br
ferrous resources do brasil,ferrous.com.br,,ferrous.com.br
mmx,,,mmx.com.br
termomecanica s£o paulo s.a.,termomecanica.com.br,,termomecanica.com.br
namisa - nacional min©rios s.a. - csn group,ri.csn.com.br,,namisa.com.br
mineraß£o caraba s/a,caraba.de,,minacaraiba.com.br
sinobras - siderrgica norte brasil s.a,sinobras.com.br,,sinobras.com.br
u&m mineraß£o e construß£o s/a,,,uem.com.br
beadell brasil ltd,,,beadellresources.com.au
mirabela mineraß£o do brasil,,,mirabela.com.br
cmoc international brasil,cmocbrasil.com,,cmocbrasil.com
mirabela mineraß£o do brasil,,,mirabela.com.au
highservice corp,highservice.com,,highservice.com
safal steel,safalsteel.co.za,,safalsteel.co.za
ical industria de calcinaß£o ltda.,ical.com.br,,ical.com.br
sama mineraßµes associadas,,,sama.com.br
kinross brasil mineraß£o,,,kinross.com.br
bemisa - brasil exploraß£o mineral s.a.,bemisa.com.br,,bemisa.com.br
"arim componentes para fogao, ltda.",arim.com.br,,arim.com.br
tecnored - vale do rio doce,tecnored.com.br,,tecnored.com.br
mineraß£o caraba s/a,caraba.de,,mcsa.com.br
perfilados rio doce s/a,perfiladosrd.com.br,,perfiladosrd.com.br
carbinox industria e comercio ltda,carbinox.com.br,,carbinox.com.br
sei consultoria e projetos,seiconsultoria.com,,seimg.com.br
bahia mineraß£o ltda.,,,bamin.com.br
sampaio distribuidora de aßo s/a,sampaio-sa.com.br,,sampaio-sa.com.br
distribuidora cummins minas s/a,dcml.com.br,,dcml.com.br
consorcio de aluminio do maranhao - alumar.,telelistas.net,,alumar.com.br
tsa - tubos soldados atl¢ntico,,,tsa.ind.br
